text,label
Celebrities caught shape-shifting into reptilian beings,1
Scientists discover new treatment for rare disease,0
Aliens found living among humans in secret government base,1
Local community launches environmental initiative,0
Tech companies collaborate on AI safety measures,0
Government using mind-control waves through 5G networks,1
Cure for all diseases hidden by pharmaceutical companies,1
Time traveler from the year 3000 reveals future events,1
Scientists discover new treatment for rare disease,0
Scientists discover new treatment for rare disease,0
Celebrities caught shape-shifting into reptilian beings,1
Aliens found living among humans in secret government base,1
Scientists discover new treatment for rare disease,0
Time traveler from the year 3000 reveals future events,1
Time traveler from the year 3000 reveals future events,1
Scientists discover new treatment for rare disease,0
Education reform bill passed in parliament,0
Tech companies collaborate on AI safety measures,0
Celebrities caught shape-shifting into reptilian beings,1
Cure for all diseases hidden by pharmaceutical companies,1
Education reform bill passed in parliament,0
Cure for all diseases hidden by pharmaceutical companies,1
Government announces new policy for economic growth,0
Government using mind-control waves through 5G networks,1
Government using mind-control waves through 5G networks,1
Cure for all diseases hidden by pharmaceutical companies,1
Cure for all diseases hidden by pharmaceutical companies,1
Tech companies collaborate on AI safety measures,0
Government using mind-control waves through 5G networks,1
Tech companies collaborate on AI safety measures,0
Tech companies collaborate on AI safety measures,0
Government using mind-control waves through 5G networks,1
Education reform bill passed in parliament,0
Cure for all diseases hidden by pharmaceutical companies,1
Education reform bill passed in parliament,0
Education reform bill passed in parliament,0
Cure for all diseases hidden by pharmaceutical companies,1
Scientists discover new treatment for rare disease,0
Scientists discover new treatment for rare disease,0
Government announces new policy for economic growth,0
Tech companies collaborate on AI safety measures,0
Government using mind-control waves through 5G networks,1
Education reform bill passed in parliament,0
Government announces new policy for economic growth,0
Local community launches environmental initiative,0
Scientists discover new treatment for rare disease,0
Cure for all diseases hidden by pharmaceutical companies,1
Time traveler from the year 3000 reveals future events,1
Tech companies collaborate on AI safety measures,0
Education reform bill passed in parliament,0
Government announces new policy for economic growth,0
Aliens found living among humans in secret government base,1
Cure for all diseases hidden by pharmaceutical companies,1
